         Node,"ROMUALD","BONAVENTURE","AMBROSE","BERTHOLD","PETER","LOUIS","VICTOR","WINFRID","JOHN_BOSCO","GREGORY","HUGH","BONIFACE","MARK","ALBERT","AMAND","BASIL","ELIAS","SIMPLICIUS"
    "ROMUALD",       0,       0,       0,       0,       3,       0,       1,       0,       0,       0,       2,       0,       0,       0,       0,       0,       0,       0
"BONAVENTURE",       0,       0,       0,       0,       3,       2,       0,       0,       0,       0,       0,       0,       0,       0,       1,       0,       0,       0
    "AMBROSE",       0,       2,       0,       0,       0,       0,       3,       0,       0,       0,       0,       0,       0,       1,       0,       0,       0,       0
   "BERTHOLD",       0,       0,       2,       0,       3,       0,       0,       0,       1,       0,       0,       0,       0,       0,       0,       0,       0,       0
      "PETER",       2,       3,       0,       1,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0
      "LOUIS",       0,       3,       0,       0,       0,       0,       1,       0,       0,       0,       2,       0,       0,       0,       0,       0,       0,       0
     "VICTOR",       0,       0,       1,       0,       0,       0,       0,       0,       3,       2,       0,       0,       0,       0,       0,       0,       0,       0
    "WINFRID",       0,       0,       0,       0,       0,       0,       0,       0,       3,       2,       1,       0,       0,       0,       0,       0,       0,       0
 "JOHN_BOSCO",       0,       3,       0,       0,       0,       0,       0,       0,       0,       0,       1,       0,       0,       0,       0,       2,       0,       0
    "GREGORY",       0,       0,       0,       0,       0,       0,       0,       0,       3,       0,       1,       0,       2,       0,       0,       0,       0,       0
       "HUGH",       0,       0,       0,       0,       0,       1,       0,       2,       3,       0,       0,       2,       0,       0,       0,       0,       0,       0
   "BONIFACE",       0,       0,       0,       0,       0,       0,       0,       0,       3,       2,       1,       0,       0,       0,       0,       0,       0,       0
       "MARK",       0,       0,       0,       0,       0,       0,       1,       0,       0,       2,       0,       0,       0,       3,       0,       0,       0,       0
     "ALBERT",       0,       0,       0,       0,       0,       0,       0,       0,       1,       2,       0,       0,       3,       0,       0,       0,       0,       0
      "AMAND",       0,       2,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       1,       0,       0,       0,       0,       3
      "BASIL",       0,       0,       0,       0,       0,       0,       0,       0,       2,       3,       0,       0,       0,       0,       0,       0,       1,       0
      "ELIAS",       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       2,       3,       0,       1
 "SIMPLICIUS",       0,       0,       0,       0,       0,       0,       0,       0,       2,       3,       0,       0,       1,       0,       0,       0,       0,       0

    "ROMUALD",       0,       1,       0,       0,       3,       0,       0,       0,       0,       0,       0,       0,       0,       0,       2,       0,       0,       0
"BONAVENTURE",       0,       0,       0,       0,       3,       1,       0,       0,       2,       0,       0,       0,       0,       0,       0,       0,       0,       0
    "AMBROSE",       0,       1,       0,       0,       0,       0,       3,       2,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0
   "BERTHOLD",       0,       0,       2,       0,       3,       0,       0,       0,       1,       0,       0,       0,       0,       0,       0,       0,       0,       0
      "PETER",       0,       3,       0,       2,       0,       1,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0
      "LOUIS",       0,       3,       0,       0,       2,       0,       0,       0,       0,       0,       0,       0,       0,       1,       0,       0,       0,       0
     "VICTOR",       2,       0,       0,       1,       3,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0
    "WINFRID",       0,       0,       0,       0,       0,       0,       0,       0,       3,       1,       2,       0,       0,       0,       0,       0,       0,       0
 "JOHN_BOSCO",       0,       1,       0,       0,       0,       0,       3,       0,       0,       2,       0,       0,       0,       0,       0,       0,       0,       0
    "GREGORY",       0,       0,       0,       0,       0,       0,       0,       2,       3,       0,       0,       1,       1,       0,       0,       0,       0,       0
       "HUGH",       0,       0,       0,       0,       0,       0,       0,       1,       3,       1,       0,       2,       0,       0,       0,       0,       0,       0
   "BONIFACE",       0,       1,       0,       0,       0,       0,       0,       0,       2,       3,       1,       0,       0,       0,       0,       0,       0,       0
       "MARK",       0,       0,       0,       0,       0,       0,       0,       0,       1,       2,       0,       0,       0,       3,       0,       0,       0,       0
     "ALBERT",       0,       0,       0,       0,       0,       0,       0,       1,       0,       2,       0,       0,       3,       0,       0,       0,       0,       0
      "AMAND",       0,       2,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       1,       0,       0,       0,       0,       3
      "BASIL",       0,       0,       0,       0,       0,       0,       0,       0,       3,       0,       0,       0,       0,       0,       0,       0,       1,       2
      "ELIAS",       0,       0,       0,       0,       0,       0,       0,       0,       0,       1,       0,       0,       0,       0,       0,       2,       0,       3
 "SIMPLICIUS",       0,       0,       0,       0,       0,       0,       0,       0,       0,       1,       0,       0,       0,       0,       2,       0,       3,       0

    "ROMUALD",       0,       1,       1,       0,       3,       0,       0,       0,       0,       0,       0,       0,       0,       0,       2,       0,       0,       0
"BONAVENTURE",       0,       0,       1,       0,       3,       2,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0
    "AMBROSE",       0,       1,       0,       0,       0,       0,       3,       2,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0
   "BERTHOLD",       0,       1,       2,       0,       3,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0
      "PETER",       0,       3,       0,       1,       0,       2,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0
      "LOUIS",       0,       2,       0,       0,       0,       0,       3,       0,       0,       0,       1,       0,       0,       0,       0,       0,       0,       0
     "VICTOR",       0,       0,       1,       2,       3,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0
    "WINFRID",       0,       0,       0,       0,       0,       0,       0,       0,       3,       2,       0,       0,       1,       0,       0,       0,       0,       0
